region,year,tourism_nights
TRA2,2018.0,732709.0
TRB1,2018.0,964956.0
TRB2,2018.0,1107264.0
TRC1,2018.0,1315389.0
TRC2,2018.0,1601357.0
TRC3,2018.0,996855.0
HR04,2018.0,1922282.0
FRY5,2018.0,86382.0
HR05,2018.0,1591690.0
HR06,2018.0,614937.0
AL01,2019.0,259910.0
AL02,2019.0,329702.0
AL03,2019.0,425425.0
AT11,2019.0,1462606.0
AT12,2019.0,3091532.0
AT13,2019.0,2751494.0
AT21,2019.0,2960677.0
AT22,2019.0,5149725.0
AT31,2019.0,2743930.0
AT32,2019.0,3952623.0
AT33,2019.0,3056766.0
AT34,2019.0,723083.0
BE10,2019.0,1519535.0
BE21,2019.0,950741.0
BE22,2019.0,451808.0
BE23,2019.0,494228.0
BE24,2019.0,732781.0
BE25,2019.0,2224683.0
BE31,2019.0,221653.0
BE32,2019.0,378105.0
BE33,2019.0,557409.0
BE34,2019.0,331457.0
BE35,2019.0,263322.0
BG31,2019.0,382325.0
BG32,2019.0,543120.0
BG33,2019.0,1339741.0
BG34,2019.0,1887966.0
BG41,2019.0,1851018.0
BG42,2019.0,1886180.0
CH01,2019.0,4180376.0
CH02,2019.0,3125557.0
CH03,2019.0,1018153.0
CH04,2019.0,1923625.0
CH05,2019.0,4491316.0
CH06,2019.0,1780977.0
CH07,2019.0,1431927.0
CY00,2019.0,1011520.0
CZ01,2019.0,1796117.0
CZ02,2019.0,1380781.0
CZ03,2019.0,2510437.0
CZ04,2019.0,1915168.0
CZ05,2019.0,3837414.0
CZ06,2019.0,2593097.0
CZ07,2019.0,2306244.0
CZ08,2019.0,1212394.0
DE11,2019.0,8342662.0
DE12,2019.0,6811373.0
DE13,2019.0,7729185.0
DE14,2019.0,4177185.0
DE21,2019.0,22539221.0
DE22,2019.0,7102736.0
DE23,2019.0,3331238.0
DE24,2019.0,3159766.0
DE25,2019.0,4740598.0
DE26,2019.0,3920811.0
DE27,2019.0,7827653.0
DE30,2019.0,15874794.0
DE40,2019.0,6359566.0
DE50,2019.0,2004513.0
DE60,2019.0,10528023.0
DE71,2019.0,12057698.0
DE72,2019.0,1292503.0
DE73,2019.0,4277050.0
DE80,2019.0,13245202.0
DE91,2019.0,3936473.0
DE92,2019.0,4215931.0
DE93,2019.0,3808711.0
DE94,2019.0,6708108.0
DEA1,2019.0,7656086.0
DEA2,2019.0,8240372.0
DEA3,2019.0,2620449.0
DEA4,2019.0,2694210.0
DEA5,2019.0,4721044.0
DEB1,2019.0,4155303.0
DEB2,2019.0,1983460.0
DEB3,2019.0,3808416.0
DEC0,2019.0,1125794.0
DED2,2019.0,6262095.0
DED4,2019.0,2881476.0
DED5,2019.0,3309179.0
DEE0,2019.0,5002004.0
DEF0,2019.0,9645453.0
DEG0,2019.0,5909026.0
DK01,2019.0,4227997.0
DK02,2019.0,612219.0
DK03,2019.0,2242407.0
DK04,2019.0,1619495.0
DK05,2019.0,947422.0
EA19,2019.0,772506230.0
EE00,2019.0,1777559.0
EL30,2019.0,2656897.0
EL41,2019.0,467553.0
EL42,2019.0,1891046.0
EL43,2019.0,1202326.0
EL51,2019.0,789713.0
EL52,2019.0,2660314.0
EL53,2019.0,258210.0
EL54,2019.0,851901.0
EL61,2019.0,1284171.0
EL62,2019.0,881018.0
EL63,2019.0,896131.0
EL64,2019.0,1106013.0
