region,year,temperature,precipitation
BE35,2012,9.580554,266.4137
BE35,2013,9.075333,234.26819
BE35,2014,10.80186,248.74878
BE35,2015,10.215261,226.27545
BE35,2016,9.863719,253.59535
BE35,2017,10.236694,238.7352
BE35,2018,10.869809,211.93504
BE35,2019,10.484263,252.38037
BE35,2020,11.189125,235.81601
BE35,2021,9.622457,312.8252
BE35,2022,11.153389,234.41602
BE35,2023,11.034187,295.48358
BG31,2010,11.72822,929.25836
BG31,2011,11.447481,556.55096
BG31,2012,12.384291,714.6368
BG31,2013,12.298153,788.4407
BG31,2014,11.892477,1271.863
BG31,2015,12.526893,782.98663
BG31,2016,12.344278,867.35724
BG31,2017,11.968361,870.72375
BG31,2018,12.207428,879.87805
BG31,2019,12.934767,726.37366
BG31,2020,12.595891,754.6263
BG31,2021,12.018857,848.6366
BG31,2022,12.833202,647.51624
BG31,2023,13.436945,826.5781
BG32,2010,12.133595,699.09094
BG32,2011,11.299945,561.61975
BG32,2012,12.457135,634.51575
BG32,2013,12.651955,638.5193
BG32,2014,12.151183,937.8223
BG32,2015,12.729362,601.4852
BG32,2016,12.481027,652.8225
BG32,2017,12.089259,664.2332
BG32,2018,12.398472,669.6186
BG32,2019,13.261882,536.86334
BG32,2020,13.005332,548.68317
BG32,2021,12.075226,751.19305
BG32,2022,12.993731,403.20587
BG32,2023,13.861815,603.91614
BG33,2010,12.350144,637.0392
BG33,2011,11.296327,535.2764
BG33,2012,12.596694,549.8581
BG33,2013,12.63376,510.2539
BG33,2014,12.336533,801.87036
BG33,2015,12.556362,555.4886
BG33,2016,12.497387,585.42444
BG33,2017,12.103886,529.82043
BG33,2018,12.489205,627.31555
BG33,2019,13.265777,434.8488
BG33,2020,13.099126,469.66934
BG33,2021,12.231951,718.1664
BG33,2022,12.973451,376.2188
BG33,2023,13.814102,508.78238
BG34,2010,12.901862,1021.24786
BG34,2011,11.795921,837.1401
BG34,2012,13.098885,803.75006
BG34,2013,13.070463,764.5016
BG34,2014,12.93429,1288.1565
BG34,2015,13.031152,885.396
BG34,2016,13.0906315,837.93066
BG34,2017,12.731825,910.61115
BG34,2018,13.107239,946.87366
BG34,2019,13.698505,743.9613
BG34,2020,13.479913,742.51556
BG34,2021,12.793514,1042.6445
BG34,2022,13.204559,622.71594
BG34,2023,13.908105,751.83105
BG41,2010,9.818534,1153.6903
BG41,2011,9.138903,689.16986
BG41,2012,9.86271,909.52686
BG41,2013,10.127701,902.04236
BG41,2014,10.176944,1336.504
BG41,2015,9.863843,1010.63824
BG41,2016,9.96224,1015.61926
BG41,2017,9.516407,1063.818
BG41,2018,10.137133,1055.5878
BG41,2019,10.416026,885.04315
BG41,2020,9.946154,1032.528
BG41,2021,9.483961,1148.9258
BG41,2022,9.795723,903.26404
BG41,2023,10.40753,1094.8314
BG42,2010,11.72607,1201.7479
BG42,2011,10.785178,837.4405
BG42,2012,11.7706995,977.79846
BG42,2013,12.132415,931.9439
BG42,2014,11.939864,1532.7081
BG42,2015,11.912949,1196.5437
BG42,2016,12.086904,907.6672
BG42,2017,11.682709,1129.1829
BG42,2018,12.130465,1160.4786
BG42,2019,12.558351,1024.1794
