region,year,population
ES63,1992,67981.0
ES64,1992,57417.0
ES70,1992,1510606.0
EU28,1992,477925130.0
FI19,1992,1304793.0
FI1B,1992,1248072.0
FI1C,1992,1122685.0
FI1D,1992,1328605.0
FI20,1992,24847.0
FR10,1992,10753276.0
FRB0,1992,2393043.0
FRC1,1992,1613265.0
FRC2,1992,1102326.0
FRD1,1992,1397801.0
FRD2,1992,1753445.0
FRE1,1992,3971196.0
FRE2,1992,1826282.0
FRF1,1992,1647964.0
FRF2,1992,1347817.0
FRF3,1992,2307592.0
FRG0,1992,3090225.0
FRH0,1992,2811473.0
FRI1,1992,2824048.0
FRI2,1992,720921.0
FRI3,1992,1605587.0
FRJ1,1992,2153832.0
FRJ2,1992,2461633.0
FRK1,1992,1317402.0
FRK2,1992,5433044.0
FRL0,1992,4326663.0
FRM0,1992,251698.0
FRY2,1992,361420.0
FRY3,1992,121469.0
FRY4,1992,620333.0
ITC1,1992,4298884.0
ITC2,1992,115897.0
ITC3,1992,1674115.0
ITC4,1992,8860344.0
ITF1,1992,1249584.0
ITF2,1992,330614.0
ITF3,1992,5631659.0
ITF4,1992,4031516.0
ITF5,1992,610393.0
ITF6,1992,2068984.0
ITG1,1992,4966799.0
ITG2,1992,1647998.0
ITH1,1992,440638.0
ITH2,1992,449811.0
ITH3,1992,4381146.0
ITH4,1992,1196190.0
ITI1,1992,3526838.0
ITI2,1992,811501.0
ITI4,1992,5142825.0
LI00,1992,29386.0
LU00,1992,389600.0
MT00,1992,359543.0
PL21,1992,3132201.0
PL22,1992,4978892.0
PL41,1992,3283364.0
PL42,1992,1690819.0
PL43,1992,998630.0
PL51,1992,2970192.0
PL52,1992,1089233.0
PL61,1992,2065593.0
PL62,1992,1423317.0
PL63,1992,2132677.0
PT11,1992,3510528.0
PT15,1992,346596.0
PT16,1992,2274230.0
PT17,1992,2539520.0
PT18,1992,785578.0
PT20,1992,239984.0
PT30,1992,253593.0
UKC1,1992,1157900.0
UKC2,1992,1431200.0
UKD1,1992,486800.0
UKD3,1992,2552400.0
UKD4,1992,1403900.0
UKE1,1992,873600.0
UKE2,1992,715900.0
UKE3,1992,1288500.0
UKE4,1992,2064600.0
UKF1,1992,1954500.0
UKF2,1992,1477600.0
UKF3,1992,592000.0
UKG1,1992,1163800.0
UKG2,1992,1452500.0
UKG3,1992,2617200.0
UKH1,1992,2070500.0
UKH2,1992,1518400.0
UKH3,1992,1543000.0
UKJ1,1992,1969900.0
UKJ2,1992,2445100.0
UKJ3,1992,1699300.0
UKJ4,1992,1528600.0
UKK1,1992,2068000.0
UKK2,1992,1126200.0
UKK3,1992,472300.0
UKK4,1992,1034600.0
UKL1,1992,1857400.0
UKL2,1992,1017900.0
UKN0,1992,1615490.0
BG31,1993,1166687.0
BG32,1993,1096989.0
BG33,1993,1067248.0
BG34,1993,1248850.0
BG41,1993,2175593.0
BG42,1993,1729496.0
CH01,1993,1239307.0
CH02,1993,1633795.0
CH03,1993,941764.0
CH04,1993,1158077.0
CH05,1993,1005266.0
CH06,1993,635642.0
CH07,1993,294108.0
CY00,1993,619231.0
CZ01,1993,1217315.0
CZ02,1993,1110114.0
CZ03,1993,1181934.0
CZ04,1993,1129161.0
CZ05,1993,1491757.0
CZ06,1993,1662566.0
CZ07,1993,1249343.0
CZ08,1993,1283507.0
EFTA,1993,11499380.0
EL30,1993,3700526.0
EL41,1993,200088.0
EL42,1993,270920.0
EL43,1993,547999.0
EL51,1993,573890.0
EL52,1993,1737962.0
EL53,1993,291794.0
EL54,1993,331089.0
EL61,1993,739239.0
EL62,1993,195196.0
EL63,1993,705916.0
EL64,1993,553594.0
EL65,1993,582745.0
ES11,1993,2731249.0
ES12,1993,1091116.0
ES13,1993,529686.0
ES21,1993,2102202.0
ES22,1993,525349.0
ES23,1993,265665.0
ES24,1993,1193145.0
ES30,1993,5030383.0
ES41,1993,2535358.0
ES42,1993,1678672.0
ES43,1993,1064385.0
ES51,1993,6110576.0
ES52,1993,3913214.0
ES53,1993,732316.0
ES61,1993,7030276.0
ES62,1993,1072937.0
ES63,1993,68449.0
ES64,1993,58528.0
ES70,1993,1530528.0
EU28,1993,479561788.0
FI19,1993,1308650.0
FI1B,1993,1261807.0
FI1C,1993,1125623.0
FI1D,1993,1333909.0
FI20,1993,24993.0
FR10,1993,10793414.0
FRB0,1993,2403487.0
FRC1,1993,1614605.0
FRC2,1993,1105411.0
FRD1,1993,1402650.0
FRD2,1993,1760144.0
FRE1,1993,3977782.0
FRE2,1993,1834923.0
FRF1,1993,1662967.0
FRF2,1993,1348898.0
FRF3,1993,2311514.0
FRG0,1993,3110784.0
FRH0,1993,2822722.0
FRI1,1993,2837490.0
FRI2,1993,719702.0
FRI3,1993,1609907.0
FRJ1,1993,2175024.0
FRJ2,1993,2476375.0
FRK1,1993,1315977.0
FRK2,1993,5474915.0
FRL0,1993,4356875.0
FRM0,1993,253595.0
FRY2,1993,363344.0
FRY3,1993,125786.0
FRY4,1993,633030.0
LI00,1993,29868.0
LU00,1993,394750.0
MT00,1993,362977.0
PL21,1993,3151759.0
PL22,1993,4928873.0
PL41,1993,3301018.0
PL42,1993,1701492.0
PL43,1993,1004721.0
PL51,1993,2978446.0
PL52,1993,1094191.0
PL61,1993,2078332.0
PL62,1993,1436597.0
PL63,1993,2139207.0
PT11,1993,3519004.0
PT15,1993,349511.0
PT16,1993,2272444.0
PT17,1993,2539817.0
PT18,1993,782614.0
PT20,1993,239918.0
PT30,1993,251650.0
UKC1,1993,1157829.0
UKC2,1993,1434812.0
UKD1,1993,487205.0
UKD3,1993,2551097.0
UKD4,1993,1408516.0
UKE1,1993,876845.0
UKE2,1993,717074.0
UKE3,1993,1287664.0
UKE4,1993,2070005.0
UKF1,1993,1960282.0
UKF2,1993,1487904.0
UKF3,1993,598106.0
UKG1,1993,1170902.0
UKG2,1993,1455329.0
UKG3,1993,2615422.0
UKH1,1993,2074297.0
UKH2,1993,1525397.0
UKH3,1993,1548785.0
UKJ1,1993,1981839.0
UKJ2,1993,2449512.0
UKJ3,1993,1704860.0
UKJ4,1993,1528672.0
UKK1,1993,2078248.0
UKK2,1993,1132590.0
UKK3,1993,473889.0
UKK4,1993,1039050.0
UKL1,1993,1859388.0
UKL2,1993,1021228.0
UKN0,1993,1629620.0
BG31,1994,1157224.0
BG32,1994,1093159.0
BG33,1994,1064816.0
BG34,1994,1246609.0
BG41,1994,2169161.0
BG42,1994,1728794.0
CH01,1994,1251055.0
CH02,1994,1628750.0
CH03,1994,966728.0
CH04,1994,1162083.0
CH05,1994,1017546.0
CH06,1994,644453.0
CH07,1994,297955.0
CY00,1994,632944.0
EFTA,1994,11588759.0
EL30,1994,3730628.0
EL41,1994,199226.0
EL42,1994,275888.0
EL43,1994,552109.0
EL51,1994,574716.0
EL52,1994,1752491.0
EL53,1994,291857.0
EL54,1994,332380.0
EL61,1994,740145.0
EL62,1994,196482.0
EL63,1994,707666.0
EL64,1994,553172.0
EL65,1994,583111.0
ES11,1994,2730117.0
ES12,1994,1088497.0
ES13,1994,530550.0
ES21,1994,2100382.0
ES22,1994,528520.0
ES23,1994,266807.0
ES24,1994,1194633.0
ES30,1994,5074384.0
ES41,1994,2528348.0
ES42,1994,1688537.0
ES43,1994,1064776.0
ES51,1994,6136308.0
ES52,1994,3942324.0
ES53,1994,744232.0
ES61,1994,7074929.0
ES62,1994,1087209.0
ES63,1994,68957.0
ES64,1994,59559.0
ES70,1994,1549420.0
EU28,1994,480893003.0
FI19,1994,1311353.0
FI1B,1994,1277609.0
FI1C,1994,1127032.0
FI1D,1994,1336816.0
FI20,1994,25102.0
FR10,1994,10833223.0
FRB0,1994,2410394.0
FRC1,1994,1615153.0
FRC2,1994,1107794.0
FRD1,1994,1405337.0
FRD2,1994,1765765.0
FRE1,1994,3981783.0
FRE2,1994,1840447.0
FRF1,1994,1675733.0
FRF2,1994,1349476.0
FRF3,1994,2313867.0
FRG0,1994,3128438.0
FRH0,1994,2830583.0
FRI1,1994,2845808.0
FRI2,1994,718530.0
FRI3,1994,1613361.0
FRJ1,1994,2192819.0
FRJ2,1994,2483633.0
FRK1,1994,1314015.0
FRK2,1994,5498280.0
FRL0,1994,4383592.0
FRM0,1994,256977.0
FRY2,1994,365554.0
FRY3,1994,130282.0
FRY4,1994,645093.0
LI00,1994,30310.0
LU00,1994,400200.0
MK00,1994,1936741.0
MT00,1994,366431.0
PL21,1994,3164287.0
PL22,1994,4932788.0
PL41,1994,3313588.0
PL42,1994,1708392.0
PL43,1994,1007983.0
PL51,1994,2983040.0
PL52,1994,1094886.0
PL61,1994,2084065.0
PL62,1994,1442512.0
PL63,1994,2150077.0
PT11,1994,3533685.0
PT15,1994,353182.0
PT16,1994,2275572.0
PT17,1994,2543315.0
PT18,1994,780379.0
PT20,1994,239688.0
PT30,1994,248570.0
UKC1,1994,1157601.0
UKC2,1994,1433704.0
UKD1,1994,487084.0
UKD3,1994,2548336.0
UKD4,1994,1412802.0
UKE1,1994,880626.0
UKE2,1994,718406.0
UKE3,1994,1285440.0
UKE4,1994,2072642.0
UKF1,1994,1963788.0
UKF2,1994,1496870.0
UKF3,1994,603148.0
UKG1,1994,1177764.0
UKG2,1994,1459331.0
UKG3,1994,2610517.0
UKH1,1994,2079874.0
UKH2,1994,1531728.0
UKH3,1994,1554541.0
UKJ1,1994,1992900.0
UKJ2,1994,2455809.0
UKJ3,1994,1713120.0
UKJ4,1994,1530554.0
UKK1,1994,2087798.0
UKK2,1994,1139276.0
UKK3,1994,476069.0
UKK4,1994,1042213.0
UKL1,1994,1860980.0
UKL2,1994,1024523.0
UKN0,1994,1639839.0
BG31,1995,1143962.0
BG32,1995,1089887.0
BG33,1995,1057657.0
BG34,1995,1245052.0
BG41,1995,2165613.0
BG42,1995,1725247.0
CH01,1995,1263139.0
CH02,1995,1634467.0
CH03,1995,971427.0
CH04,1995,1168567.0
CH05,1995,1027485.0
CH06,1995,651803.0
CH07,1995,302131.0
CY00,1995,645399.0
EFTA,1995,11665036.0
EL30,1995,3755616.0
EL41,1995,198878.0
EL42,1995,280421.0
EL43,1995,556202.0
EL51,1995,576350.0
EL52,1995,1763273.0
EL53,1995,291394.0
EL54,1995,333350.0
EL61,1995,740298.0
EL62,1995,196987.0
EL63,1995,708189.0
EL64,1995,552208.0
EL65,1995,582807.0
ES11,1995,2727113.0
ES12,1995,1086001.0
ES13,1995,531185.0
ES21,1995,2097947.0
ES22,1995,531732.0
ES23,1995,268055.0
ES24,1995,1196261.0
ES30,1995,5116658.0
ES41,1995,2520690.0
ES42,1995,1698263.0
ES43,1995,1065076.0
ES51,1995,6161209.0
ES52,1995,3969401.0
ES53,1995,756141.0
ES61,1995,7115498.0
ES62,1995,1100679.0
ES63,1995,69318.0
ES64,1995,60450.0
ES70,1995,1568049.0
EU28,1995,481904006.0
FI19,1995,1313881.0
FI1B,1995,1293573.0
FI1C,1995,1128490.0
FI1D,1995,1337652.0
FI20,1995,25158.0
FR10,1995,10858975.0
FRB0,1995,2418315.0
FRC1,1995,1615509.0
FRC2,1995,1111540.0
FRD1,1995,1408316.0
FRD2,1995,1771034.0
FRE1,1995,3986346.0
FRE2,1995,1846150.0
FRF1,1995,1687475.0
FRF2,1995,1350114.0
FRF3,1995,2315488.0
FRG0,1995,3145757.0
FRH0,1995,2840680.0
FRI1,1995,2855720.0
FRI2,1995,716942.0
FRI3,1995,1619284.0
FRJ1,1995,2209034.0
FRJ2,1995,2494806.0
FRK1,1995,1312232.0
FRK2,1995,5525090.0
FRL0,1995,4405312.0
FRM0,1995,258416.0
FRY2,1995,368045.0
FRY3,1995,134968.0
FRY4,1995,657162.0
LI00,1995,30629.0
LU00,1995,405650.0
MK00,1995,1957265.0
MT00,1995,369451.0
PL21,1995,3179728.0
PL22,1995,4917696.0
PL41,1995,3324822.0
