region,year,gdp
RS11,2001,4380.66
RS12,2001,4953.5
RS21,2001,3158.57
RS22,2001,2802.04
RSZZ,2001,8.6
SE11,2001,77592.59
SE12,2001,39208.35
SE21,2001,21246.64
SE22,2001,35385.08
SE23,2001,52109.95
SE31,2001,20596.9
SE32,2001,10742.61
SE33,2001,13683.64
SEZZ,2001,72.48
SI03,2001,10564.67
SI04,2001,12453.43
SK01,2001,6073.7
SK02,2001,7610.88
SK03,2001,4934.33
SK04,2001,5250.43
TR10,2001,68074.54
TR21,2001,5409.28
TR22,2001,4695.85
TR31,2001,14405.63
TR32,2001,7628.56
TR33,2001,7046.32
TR41,2001,12528.77
TR42,2001,12941.79
TR51,2001,21079.27
TR52,2001,4996.5
TR61,2001,8578.62
TR62,2001,8675.34
TR63,2001,5535.83
TR71,2001,3202.44
TR72,2001,5587.27
TR81,2001,2285.95
TR82,2001,1788.27
TR83,2001,5745.76
TR90,2001,5581.52
TRA1,2001,2078.08
TRA2,2001,1356.29
TRB1,2001,2867.79
TRB2,2001,2215.13
TRC1,2001,3828.83
TRC2,2001,4124.33
TRC3,2001,2531.47
AT11,2002,5205.86
AT12,2002,34465.0
AT13,2002,60607.58
AT21,2002,13168.3
AT22,2002,28723.08
AT31,2002,37574.84
AT32,2002,15849.73
AT33,2002,19198.44
AT34,2002,10185.19
ATZZ,2002,111.03
BG31,2002,1892.57
BG32,2002,1888.88
BG33,2002,2000.57
BG34,2002,2302.95
BG41,2002,6764.79
BG42,2002,2628.54
CY00,2002,12082.95
CZ01,2002,21005.43
CZ02,2002,9768.36
CZ03,2002,9262.66
CZ04,2002,7723.44
CZ05,2002,11076.61
CZ06,2002,12498.34
CZ07,2002,8220.9
CZ08,2002,8240.2
DE11,2002,139055.06
DE12,2002,84419.18
DE13,2002,56376.81
DE14,2002,49414.86
DE21,2002,166288.77
DE22,2002,29841.67
DE23,2002,28220.03
DE24,2002,26465.89
DE25,2002,49694.28
DE26,2002,35631.21
DE27,2002,47085.21
DE30,2002,87119.25
DE40,2002,46988.22
DE50,2002,23909.76
DE60,2002,84402.87
DE71,2002,146848.2
DE72,2002,25325.65
DE73,2002,31694.69
DE80,2002,30338.94
DE91,2002,46199.88
DE92,2002,54824.42
DE93,2002,31629.1
DE94,2002,55631.63
DEA1,2002,155155.92
DEA2,2002,134146.53
DEA3,2002,59212.38
DEA4,2002,52545.94
DEA5,2002,87584.11
DEB1,2002,34287.44
DEB2,2002,10936.43
DEB3,2002,51802.42
DEC0,2002,26276.24
DED2,2002,32923.37
DED4,2002,28998.73
DED5,2002,19995.77
DEE0,2002,45000.16
DEF0,2002,65417.06
DEG0,2002,41671.99
DK01,2002,68504.2
DK02,2002,20558.48
DK03,2002,37702.52
DK04,2002,40139.35
DK05,2002,18177.66
DKZZ,2002,4875.3
EE00,2002,7824.86
EL30,2002,73499.96
EL41,2002,2020.18
EL42,2002,4883.86
EL43,2002,7875.42
EL51,2002,6407.23
EL52,2002,22073.42
EL53,2002,3666.7
EL54,2002,3767.2
EL61,2002,8479.13
EL62,2002,2866.53
EL63,2002,7850.43
EL64,2002,8356.32
EL65,2002,7155.88
ES11,2002,38440.9
ES12,2002,16131.6
ES13,2002,9208.7
ES21,2002,45891.1
ES22,2002,12847.8
ES23,2002,5566.9
ES24,2002,23732.9
ES30,2002,132944.6
ES41,2002,40240.8
ES42,2002,26093.6
ES43,2002,12696.8
ES51,2002,141683.1
ES52,2002,73368.9
ES53,2002,18912.4
ES61,2002,101269.4
ES62,2002,19015.7
ES63,2002,1040.1
ES64,2002,947.8
ES70,2002,29101.8
ESZZ,2002,609.1
FI19,2002,33420.46
FI1B,2002,54522.4
FI1C,2002,30146.86
FI1D,2002,29267.11
FI20,2002,978.39
FIZZ,2002,104.78
FR10,2002,453706.9
FRB0,2002,56370.1
FRC1,2002,35638.9
FRC2,2002,26141.9
FRD1,2002,31424.0
FRD2,2002,41321.1
FRE1,2002,79514.0
FRE2,2002,38245.6
FRF1,2002,44975.9
FRF2,2002,31020.0
FRF3,2002,48257.2
FRG0,2002,76018.8
FRH0,2002,64810.5
FRI1,2002,69736.5
FRI2,2002,15023.9
FRI3,2002,35616.4
FRJ1,2002,49543.4
FRJ2,2002,59250.6
FRK1,2002,27037.6
FRK2,2002,149964.0
FRL0,2002,111436.3
FRM0,2002,5540.5
FRY1,2002,6312.0
FRY2,2002,6025.7
FRY3,2002,2634.8
FRY4,2002,11299.6
FRY5,2002,594.8
FRZZ,2002,869.4
HR02,2002,6376.75
HR03,2002,8806.11
HR05,2002,8677.84
HR06,2002,4900.19
HU11,2002,25119.51
HU12,2002,6861.97
HU21,2002,7010.0
HU22,2002,7381.74
HU23,2002,5148.14
HU31,2002,5806.81
HU32,2002,7432.84
HU33,2002,7024.31
HUZZ,2002,0.0
IE04,2002,16364.19
IE05,2002,42700.82
IE06,2002,76932.88
ITC1,2002,106027.54
ITC2,2002,3749.3
ITC3,2002,39124.28
ITC4,2002,290806.05
ITF1,2002,25768.03
ITF2,2002,5949.96
ITF3,2002,91124.53
ITF4,2002,61544.44
ITF5,2002,10078.92
ITF6,2002,28423.11
ITG1,2002,74508.38
ITG2,2002,26474.81
ITH1,2002,15371.31
ITH2,2002,14733.62
ITH3,2002,119230.95
ITH4,2002,30030.62
ITH5,2002,115098.22
ITI1,2002,87880.52
ITI2,2002,18771.94
ITI3,2002,33245.63
ITI4,2002,156894.13
ITZZ,2002,686.35
LT01,2002,5447.87
LT02,2002,9729.34
LU00,2002,25011.09
LV00,2002,9835.32
