region,year,gdp
LVZZ,2002,5.69
MK00,2002,4240.52
MT00,2002,4716.24
MTZZ,2002,8.22
NL11,2002,19416.5
NL12,2002,14545.86
NL13,2002,11072.59
NL21,2002,27683.16
NL22,2002,51619.84
NL23,2002,7965.46
NL32,2002,100103.44
NL34,2002,8804.1
NL35,2002,46621.56
NL36,2002,108277.16
NL41,2002,72649.81
NL42,2002,30262.92
NLZZ,2002,3878.6
PL21,2002,15854.6
PL22,2002,28224.17
PL41,2002,19346.09
PL42,2002,8900.11
PL43,2002,4896.96
PL51,2002,16388.59
PL52,2002,4748.63
PL61,2002,10224.22
PL62,2002,5931.45
PL63,2002,11982.44
PL71,2002,13290.69
PL72,2002,5794.87
PL81,2002,8905.69
PL82,2002,8560.57
PL84,2002,5213.88
PL91,2002,32363.32
PL92,2002,10594.31
PT11,2002,40679.85
PT15,2002,5860.83
PT19,2002,20347.64
PT1A,2002,45249.35
PT1B,2002,7788.39
PT1C,2002,6450.98
PT1D,2002,9913.85
PT20,2002,2846.46
PT30,2002,3212.36
PTZZ,2002,204.56
RO11,2002,5797.92
RO12,2002,5966.38
RO21,2002,5871.67
RO22,2002,5708.44
RO31,2002,6218.26
RO32,2002,10362.31
RO41,2002,4044.28
RO42,2002,4685.59
ROZZ,2002,40.86
RS11,2002,6307.31
RS12,2002,5601.58
RS21,2002,3764.1
RS22,2002,3339.19
RSZZ,2002,12.75
SE11,2002,81700.54
SE12,2002,41499.81
SE21,2002,22372.65
SE22,2002,37600.23
SE23,2002,54123.21
SE31,2002,21758.05
SE32,2002,10772.84
SE33,2002,14283.11
SEZZ,2002,72.35
SI03,2002,11348.83
SI04,2002,13330.89
SK01,2002,6894.72
SK02,2002,8257.5
SK03,2002,5453.95
SK04,2002,5694.11
TR10,2002,74177.82
TR21,2002,6143.5
TR22,2002,5561.4
TR31,2002,16175.95
TR32,2002,8846.98
TR33,2002,8226.58
TR41,2002,14130.03
TR42,2002,14552.04
TR51,2002,22922.26
TR52,2002,6030.7
TR61,2002,9724.8
TR62,2002,10084.81
TR63,2002,6391.71
TR71,2002,3789.05
TR72,2002,6378.8
TR81,2002,2564.52
TR82,2002,2043.22
TR83,2002,6532.67
TR90,2002,6252.47
TRA1,2002,2371.75
TRA2,2002,1542.26
TRB1,2002,3196.02
